# ----------------------------------------
# highcharts.com
# Audience Overview
# 20171217-20180117
# ----------------------------------------

Year,Min,Avg,Max
12/18/17,"0","5","15"
12/19/17,"2","10","17"
12/20/17,"3","11","18"
12/21/17,"2","11","18"
12/22/17,"4","12","19"
12/23/17,"5","15","18"
12/24/17,"0","5","20"
12/25/17,"2","7","15"
12/26/17,"2","10","16"
12/27/17,"3","11","16"
12/28/17,"2","11","17"
12/29/17,"4","12","15"
12/30/17,"5","15","16"
12/31/17,"0","5","12"
01/01/18,"2","7","17"
